* Ebeam         Eprime        Theta        x              Q2            W2           RC-deut       RC-carbon      RC_C/RC_D     Coulomb Cor.
  10.58900      3.060000      21.00000     0.3047000      4.304300      10.70455     0.9226815     0.9323240      1.010450      1.001500    
  10.58900      3.070000      21.00000     0.3061000      4.318400      10.67169     0.9241430     0.9337266      1.010370      1.001500    
  10.58900      3.080000      21.00000     0.3075000      4.332400      10.63892     0.9255676     0.9351172      1.010318      1.001500    
  10.58900      3.090000      21.00000     0.3089000      4.346500      10.60606     0.9269937     0.9364957      1.010250      1.001500    
  10.58900      3.100000      21.00000     0.3103000      4.360600      10.57319     0.9284198     0.9378616      1.010170      1.001500    
  10.58900      3.110000      21.00000     0.3117000      4.374600      10.54043     0.9298454     0.9392145      1.010076      1.001500    
  10.58900      3.120000      21.00000     0.3131000      4.388700      10.50756     0.9312522     0.9406459      1.010087      1.001500    
  10.58900      3.130000      21.00000     0.3145000      4.402800      10.47470     0.9326597     0.9420034      1.010018      1.001500    
  10.58900      3.140000      21.00000     0.3160000      4.416800      10.44193     0.9340273     0.9432849      1.009911      1.001500    
  10.58900      3.150000      21.00000     0.3174000      4.430900      10.40906     0.9354708     0.9446141      1.009774      1.001500    
  10.58900      3.160000      21.00000     0.3188000      4.445000      10.37620     0.9368181     0.9458972      1.009691      1.001600    
  10.58900      3.170000      21.00000     0.3203000      4.459000      10.34343     0.9381825     0.9472605      1.009676      1.001600    
  10.58900      3.180000      21.00000     0.3217000      4.473100      10.31057     0.9395256     0.9485436      1.009598      1.001600    
  10.58900      3.190000      21.00000     0.3232000      4.487200      10.27770     0.9410049     0.9498774      1.009429      1.001600    
  10.58900      3.200000      21.00000     0.3246000      4.501200      10.24494     0.9422469     0.9511961      1.009498      1.001600    
  10.58900      3.210000      21.00000     0.3261000      4.515300      10.21207     0.9436252     0.9524992      1.009404      1.001600    
  10.58900      3.220000      21.00000     0.3275000      4.529400      10.17921     0.9449199     0.9538195      1.009418      1.001600    
  10.58900      3.230000      21.00000     0.3290000      4.543400      10.14644     0.9462942     0.9550888      1.009294      1.001600    
